Team,Year1,AdjPoints1,Year2,AdjPoints2
CSK,2020,12,2021,18
DC,2020,16,2021,20
KKR,2020,14,2021,14
MI,2020,18,2021,14
PBKS,2020,12,2021,12
RCB,2020,14,2021,18
RR,2020,12,2021,10
SRH,2020,14,2021,6
CSK,2019,18,2020,12
DC,2019,18,2020,16
KKR,2019,12,2020,14
MI,2019,18,2020,18
PBKS,2019,12,2020,12
RCB,2019,11,2020,14
RR,2019,11,2020,12
SRH,2019,12,2020,14
CSK,2018,18,2019,18
DC,2018,10,2019,18
KKR,2018,16,2019,12
MI,2018,12,2019,18
PBKS,2018,12,2019,12
RCB,2018,12,2019,11
RR,2018,14,2019,11
SRH,2018,19,2019,12
DC,2017,12,2018,10
KKR,2017,16,2018,16
MI,2017,20,2018,12
PBKS,2017,14,2018,12
RCB,2017,7,2018,12
SRH,2017,16,2018,19
DC,2016,14,2017,12
GL,2016,18,2017,8
KKR,2016,16,2017,16
MI,2016,14,2017,20
PBKS,2016,8,2017,14
RCB,2016,16,2017,7
RPS,2016,10,2017,18
SRH,2016,16,2017,16
DC,2015,11,2016,14
KKR,2015,15,2016,16
MI,2015,16,2016,14
PBKS,2015,6,2016,8
RCB,2015,16,2016,16
SRH,2015,14,2016,16
CSK,2014,18,2015,18
DC,2014,4,2015,11
KKR,2014,18,2015,15
MI,2014,14,2015,16
PBKS,2014,22,2015,6
RCB,2014,10,2015,16
RR,2014,14,2015,16
SRH,2014,12,2015,14
CSK,2013,19.25,2014,18
DC,2013,5.25,2014,4
KKR,2013,10.5,2014,18
MI,2013,19.25,2014,14
PBKS,2013,14,2014,22
RCB,2013,15.75,2014,10
RR,2013,17.5,2014,14
SRH,2013,17.5,2014,12
CSK,2012,14.875,2013,19.25
DC,2012,19.25,2013,5.25
KKR,2012,18.375,2013,10.5
MI,2012,17.5,2013,19.25
PBKS,2012,14,2013,14
PWI,2012,7,2013,7
RCB,2012,14.875,2013,15.75
RR,2012,12.25,2013,17.5
CSK,2011,18,2012,14.875
DC,2011,9,2012,19.25
HDC,2011,12,2012,12
KKR,2011,16,2012,18.375
MI,2011,18,2012,17.5
PBKS,2011,14,2012,14
PWI,2011,9,2012,7
RCB,2011,19,2012,14.875
RR,2011,13,2012,12.25
CSK,2010,14,2011,18
DC,2010,14,2011,9
HDC,2010,16,2011,12
KKR,2010,14,2011,16
MI,2010,20,2011,18
PBKS,2010,8,2011,14
RCB,2010,14,2011,19
RR,2010,12,2011,13
CSK,2009,17,2010,14
DC,2009,20,2010,14
HDC,2009,14,2010,16
KKR,2009,7,2010,14
MI,2009,11,2010,20
PBKS,2009,14,2010,8
RCB,2009,16,2010,14
RR,2009,13,2010,12
CSK,2008,16,2009,17
DC,2008,15,2009,20
HDC,2008,4,2009,14
KKR,2008,13,2009,7
MI,2008,14,2009,11
PBKS,2008,20,2009,14
RCB,2008,8,2009,16
RR,2008,22,2009,13
